DPA_PARROQ,RIESGO_INUNDACION,SCORE
10151.0,Medio,0.91
10153.0,Medio,0.96
10154.0,Bajo,0.99
10155.0,Medio,0.94
10150.0,Bajo,0.96
10152.0,Bajo,0.99
10156.0,Bajo,1.0
10157.0,Bajo,0.95
10158.0,Bajo,1.0
10159.0,Bajo,0.98
10160.0,Bajo,0.99
10161.0,Bajo,0.95
10162.0,Bajo,0.97
10163.0,Bajo,0.99
10164.0,Bajo,1.0
10165.0,Bajo,0.98
10166.0,Bajo,0.99
10167.0,Medio,0.95
10168.0,Medio,0.84
10169.0,Medio,0.95
10170.0,Bajo,1.0
10171.0,Bajo,0.95
10251.0,Bajo,1.0
10250.0,Bajo,0.99
10252.0,Bajo,0.97
10352.0,Bajo,0.97
10350.0,Bajo,0.97
10353.0,Bajo,0.98
10359.0,Bajo,0.99
10354.0,Medio,0.97
10356.0,Bajo,1.0
10357.0,Medio,0.9
10360.0,Bajo,0.99
10358.0,Bajo,0.99
10451.0,Medio,0.97
10452.0,Bajo,0.99
10453.0,Bajo,0.95
10450.0,Medio,0.81
10552.0,Medio,0.99
10553.0,Bajo,1.0
109074.41182682154,Bajo,1.0
10554.0,Bajo,1.0
10556.0,Bajo,1.0
10550.0,Bajo,0.97
10559.0,Medio,0.96
10561.0,Medio,0.98
10650.0,Medio,0.86
10652.0,Bajo,0.99
10751.0,Bajo,1.0
10750.0,Bajo,0.99
10851.0,Medio,0.96
10850.0,Bajo,0.91
10853.0,Bajo,0.96
10951.0,Medio,0.99
10952.0,Medio,0.96
10953.0,Medio,0.93
10954.0,Bajo,1.0
10955.0,Bajo,0.94
10956.0,Bajo,0.96
10950.0,Bajo,0.94
109074.41182682154,Bajo,0.98
11051.0,Bajo,0.99
11150.0,Bajo,0.99
11152.0,Bajo,1.0
11153.0,Bajo,1.0
11151.0,Bajo,0.96
11154.0,Bajo,0.99
11250.0,Bajo,1.0
11253.0,Medio,0.96
11351.0,Bajo,0.96
11352.0,Medio,0.94
11350.0,Bajo,1.0
11450.0,Medio,0.98
11550.0,Bajo,0.92
11551.0,Bajo,0.83
20151.0,Medio,0.95
20150.0,Medio,0.81
20153.0,Alto,0.84
20155.0,Medio,0.99
20156.0,Medio,0.99
20160.0,Alto,0.79
20157.0,Medio,0.99
109074.41182682154,Medio,0.96
20159.0,Alto,0.9
20250.0,Alto,0.96
20251.0,Medio,0.96
109074.41182682154,Medio,0.98
109074.41182682154,Medio,0.99
109074.41182682154,Medio,0.91
109074.41182682154,Medio,0.98
109074.41182682154,Medio,1.0
20450.0,Medio,1.0
20551.0,Alto,0.95
20552.0,Medio,0.93
20553.0,Medio,0.99
20550.0,Medio,0.97
20554.0,Alto,0.93
20556.0,Medio,0.97
20555.0,Medio,0.95
20650.0,Medio,0.97
20750.0,Bajo,0.99
30150.0,Bajo,0.98
30151.0,Bajo,0.99
30153.0,Bajo,1.0
30154.0,Medio,0.88
30155.0,Bajo,1.0
30156.0,Bajo,0.95
30157.0,Medio,0.95
30158.0,Bajo,1.0
30160.0,Bajo,0.99
30250.0,Bajo,0.98
30254.0,Medio,0.96
30251.0,Bajo,1.0
30252.0,Bajo,1.0
30253.0,Bajo,0.99
30350.0,Bajo,0.93
30351.0,Bajo,0.95
30352.0,Bajo,0.98
30363.0,Bajo,0.98
30353.0,Bajo,1.0
30354.0,Bajo,0.94
30355.0,Medio,0.88
30356.0,Bajo,0.97
30357.0,Bajo,0.98
30358.0,Medio,0.96
30362.0,Bajo,0.9
30361.0,Bajo,1.0
30450.0,Medio,0.67
30451.0,Alto,0.99
30452.0,Alto,0.92
30550.0,Bajo,0.96
30650.0,Bajo,0.97
30651.0,Bajo,0.99
30750.0,Bajo,1.0
40151.0,Alto,0.98
40159.0,Medio,0.95
40153.0,Alto,0.84
40154.0,Medio,0.97
40155.0,Bajo,0.95
40161.0,Medio,0.87
40156.0,Medio,0.97
40157.0,Medio,0.93
40150.0,Bajo,0.97
40158.0,Medio,0.97
40250.0,Medio,0.98
40251.0,Bajo,0.95
40252.0,Bajo,0.97
40253.0,Bajo,0.95
40255.0,Bajo,0.98
40254.0,Bajo,0.96
40350.0,Bajo,0.95
40351.0,Bajo,0.92
40352.0,Bajo,0.98
40353.0,Bajo,0.96
40451.0,Medio,0.92
40452.0,Medio,0.98
40453.0,Medio,0.99
40450.0,Medio,0.98
40552.0,Bajo,0.94
40551.0,Medio,0.9
40553.0,Medio,0.93
40554.0,Medio,0.96
40555.0,Bajo,0.94
40550.0,Medio,0.94
40650.0,Medio,0.96
40651.0,Bajo,0.96
109074.41182682154,Bajo,0.95
50151.0,Bajo,0.97
50152.0,Bajo,0.94
50153.0,Alto,0.72
50154.0,Bajo,0.85
50150.0,Bajo,0.99
50156.0,Bajo,0.99
50158.0,Bajo,0.94
50159.0,Bajo,0.94
50161.0,Bajo,0.94
50162.0,Bajo,0.92
50251.0,Medio,0.99
50250.0,Medio,0.75
50252.0,Alto,0.97
50350.0,Medio,0.86
50351.0,Medio,0.97
50352.0,Medio,0.96
50353.0,Medio,0.99
50451.0,Medio,0.96
50453.0,Medio,0.99
50455.0,Medio,0.99
50456.0,Bajo,0.92
50450.0,Bajo,0.96
50457.0,Bajo,0.98
50458.0,Medio,0.96
50551.0,Medio,0.65
50552.0,Bajo,0.98
50553.0,Bajo,1.0
50554.0,Bajo,0.96
50555.0,Bajo,1.0
50550.0,Medio,0.94
50651.0,Bajo,0.93
50652.0,Alto,0.76
50653.0,Bajo,0.95
50650.0,Medio,0.95
109074.41182682154,Medio,0.97
50752.0,Medio,0.97
50753.0,Alto,0.93
50754.0,Alto,0.78
50750.0,Medio,0.95
60151.0,Medio,0.91
60152.0,Bajo,0.96
60153.0,Bajo,1.0
60154.0,Medio,0.89
60155.0,Medio,0.95
60156.0,Bajo,0.96
60157.0,Bajo,0.96
60158.0,Bajo,0.99
60159.0,Bajo,0.97
60150.0,Bajo,0.93
60160.0,Bajo,0.98
60161.0,Medio,0.9
60251.0,Medio,0.96
60250.0,Medio,0.97
60253.0,Bajo,1.0
60254.0,Bajo,0.97
60255.0,Bajo,0.97
60256.0,Bajo,0.98
60257.0,Bajo,1.0
60258.0,Bajo,0.99
60259.0,Bajo,0.97
60260.0,Medio,0.91
60351.0,Bajo,0.94
60352.0,Bajo,1.0
60353.0,Bajo,0.93
60354.0,Bajo,0.98
109074.41182682154,Bajo,0.99
60450.0,Bajo,0.99
60551.0,Bajo,0.99
60550.0,Medio,0.89
60552.0,Medio,0.93
60553.0,Bajo,0.76
60554.0,Bajo,0.97
60651.0,Bajo,1.0
60650.0,Bajo,0.98
60652.0,Bajo,0.96
60751.0,Medio,0.9
60750.0,Bajo,0.93
60752.0,Bajo,1.0
60753.0,Bajo,0.96
60754.0,Bajo,0.9
60755.0,Bajo,0.95
60756.0,Medio,0.99
60757.0,Bajo,0.97
60758.0,Bajo,0.92
60759.0,Bajo,0.86
60850.0,Medio,0.78
60956.0,Medio,0.83
60951.0,Medio,0.96
60955.0,Medio,0.87
60952.0,Alto,0.77
60950.0,Medio,0.96
60953.0,Medio,1.0
60954.0,Bajo,0.98
61050.0,Alto,0.94
70152.0,Alto,0.75
70150.0,Bajo,0.74
70250.0,Medio,0.91
70255.0,Medio,0.91
70251.0,Alto,0.82
70254.0,Alto,0.83
70351.0,Medio,0.96
109074.41182682154,Medio,0.99
70352.0,Medio,0.95
70353.0,Medio,0.88
70350.0,Alto,0.81
70354.0,Medio,0.91
70450.0,Medio,0.99
70451.0,Medio,0.91
70550.0,Bajo,0.93
70651.0,Medio,0.86
70650.0,Medio,0.82
70652.0,Medio,0.88
70654.0,Bajo,0.82
70653.0,Bajo,0.79
70750.0,Medio,0.83
70851.0,Medio,1.0
70850.0,Medio,0.96
70951.0,Medio,0.8
70952.0,Bajo,0.96
109074.41182682154,Bajo,0.99
70953.0,Bajo,0.73
70950.0,Bajo,0.93
70954.0,Medio,0.85
70955.0,Bajo,0.94
71051.0,Alto,0.8
71052.0,Alto,0.87
71053.0,Medio,0.99
71054.0,Alto,0.96
71050.0,Bajo,0.96
71055.0,Medio,0.97
71056.0,Medio,0.94
71151.0,Bajo,0.93
71152.0,Bajo,0.91
71150.0,Bajo,0.91
71153.0,Bajo,0.94
71257.0,Medio,0.95
